Date,TWSEMarginMaintenanceRate_IncludeETF,TWSEMarginMaintenanceRate_ExcludeETF,TWSEMarginMarketValueK_IncludeETF,TWSEMarginMarketValueK_ExcludeETF,TWSEETFMarginMarketValueK,TWSETotalMarginAmountK,TPEXMarginMaintenanceRate_IncludeETF,TPEXMarginMaintenanceRate_ExcludeETF,TPEXMarginMarketValueK_IncludeETF,TPEXMarginMarketValueK_ExcludeETF,TPEXETFMarginMarketValueK,TPEXTotalMarginAmountK,CombinedMarginMaintenanceRate_IncludeETF,CombinedMarginMaintenanceRate_ExcludeETF,CombinedMarginMarketValueK_IncludeETF,CombinedMarginMarketValueK_ExcludeETF,CombinedETFMarginMarketValueK,CombinedTotalMarginAmountK,Status
2012-03-19,163.60318517489952,162.9611899439666,350732305.51,349355996.93,1376308.5799999833,214379876.0,194.47928273645653,194.4774544173282,78338707.47,78337971.0,736.4699999988079,40281261.0,168.48704047842213,167.94630424115323,429071012.98,427693967.93,1377045.050000012,254661137.0,ok
2012-03-20,162.1333307810155,161.4653008922787,347433701.88,346002188.1,1431513.7799999714,214288882.0,192.34892934666667,192.3470966267494,77162284.86999999,77161549.66,735.2099999934435,40115786.0,166.89787576932355,166.33489514429823,424595986.75,423163737.76,1432248.9900000095,254404668.0,ok
2012-03-21,161.60076549656952,160.90893838428988,346080514.89,344598913.72,1481601.169999957,214157720.0,190.7986318195467,190.7968191345148,76656906.82000001,76656178.53999999,728.2800000160933,40176864.0,166.21310993631914,165.6302833986588,422737421.71,421255092.26,1482329.449999988,254334584.0,ok
2012-03-22,163.0160029218557,162.3129402463783,349003146.7,347497950.39,1505196.3100000024,214091341.0,192.39253379062217,192.39033702149447,77350452.4,77349569.2,883.2000000029802,40204498.0,167.66047009522637,167.06821521763084,426353599.1,424847519.59,1506079.51000005,254295839.0,ok
2012-03-23,163.60796840732203,162.9014495718254,350826952.06,349311953.41999996,1514998.6400000453,214431458.0,193.34219049673175,193.34008657827212,77862763.09,77861915.80000001,847.2899999916553,40271998.0,168.30934369025601,167.71420220540705,428689715.15,427173869.21999997,1515845.9300000072,254703456.0,ok
2012-03-26,162.3155521883773,161.6704350252267,349762044.75,348371928.43,1390116.3199999928,215482768.0,193.32249823434424,193.32066913348856,77639699.48,77638964.9,734.5799999982119,40160716.0,167.18663724282524,166.64257843160988,427401744.23,426010893.33000004,1390850.8999999762,255643484.0,ok
2012-03-27,161.8531749751998,161.1389395618839,345768899.36,344243069.59000003,1525829.769999981,213631212.0,191.50375433961543,191.5014967226535,76361717.97,76360817.75,900.2199999988079,39874789.0,166.5170116939362,165.91476559957255,422130617.33000004,420603887.34000003,1526729.9900000095,253506001.0,ok
2012-03-28,161.59534427648447,160.91080754701122,345118666.13,343656703.2,1461962.9300000072,213569684.0,191.81233256455602,191.81067353080175,76511793.08,76511131.31,661.7699999958277,39888881.0,166.35084287248293,165.77377628173662,421630459.21,420167834.51,1462624.699999988,253458565.0,ok
2012-03-29,155.32929877919668,154.635492730589,322994238.46999997,321551527.03,1442711.4399999976,207941606.0,183.5549140579825,183.55300605733572,71305480.18,71304738.97999999,741.2000000178814,38846947.0,159.7722884051271,159.18739391855019,394299718.65,392856266.01,1443452.6399999857,246788553.0,ok
2012-03-30,157.3061360000564,156.6079983334636,326321218.95000005,324872978.34,1448240.610000074,207443414.0,185.6372613968877,185.63546044632966,71737731.98,71737036.02,695.9600000083447,38644037.0,161.75507906333675,161.1662897674534,398058950.93000007,396610014.35999995,1448936.570000112,246087451.0,ok
2012-04-02,155.35304708860065,154.6795123237577,321671589.58000004,320276979.03,1394610.5500000715,207058436.0,183.80958009965497,183.80770281109636,70726926.65,70726204.3,722.3500000089407,38478368.0,159.81250461743406,159.24422610387973,392398516.23,391003183.33,1395332.9000000358,245536804.0,ok
2012-04-03,151.06636922039957,150.3798391152338,305818644.54999995,304428833.52,1389811.0299999714,202439925.0,176.86950474417586,176.8675727035046,66805281.59,66804551.84,729.75,37770944.0,155.1236743329878,154.54479096031247,372623926.14,371233385.36,1390540.7799999714,240210869.0,ok
2012-04-04,,,,,,,,,,,,,,,,,,,data unavailable: TWSE MI_MARGN total 20120404: missing tables (keys=stat; stat='很抱歉，沒有符合條件的資料')
2012-04-05,149.54893096829173,148.83088477703495,299499993.03,298061969.84999996,1438023.1800000072,200268896.0,173.77146738080106,173.76941672285545,64739185.75,64738421.77,763.9799999967217,37255360.0,153.34820321676958,152.742459961647,364239178.78,362800391.61999995,1438787.1600000262,237524256.0,ok
2012-04-06,153.3914627990128,152.66302828099253,307126606.84,305668105.71000004,1458501.1299999356,200224055.0,180.40757422330017,180.40582869450316,67076816.989999995,67076167.99000001,648.9999999850988,37180710.0,157.62254132936212,157.00791586891697,374203423.83,372744273.70000005,1459150.1299999356,237404765.0,ok
2012-04-09,150.72627723111694,149.9958961606995,298771453.53000003,297323683.32,1447770.2100000381,198221212.0,178.55359376225144,178.55183326848726,66152794.120000005,66152141.870000005,652.25,37049265.0,155.10838941768287,154.49274801699832,364924247.65000004,363475825.19,1448422.4600000381,235270477.0,ok
2012-04-10,151.73241013983093,151.00447609386052,299009292.13,297574799.37,1434492.7599999905,197063562.0,180.3928113163229,180.3910254095841,66701351.39999999,66700691.05,660.3499999940395,36975615.0,156.2604381957812,155.64722756651977,365710643.53,364275490.42,1435153.1099999547,234039177.0,ok
2012-04-11,152.49269384669375,151.73691942765512,300010243.40999997,298523352.06000006,1486891.3499999046,196737454.0,181.60956396134475,181.60780212950647,67218445.08,67217792.97999999,652.1000000089407,37012613.0,157.10313721107937,156.46675516888732,367228688.48999995,365741145.0400001,1487543.4499998689,233750067.0,ok
2012-04-12,153.29521555146002,152.57517250830392,303389729.71,301964677.64000005,1425052.0699999332,197912067.0,182.80250945135987,182.8010309363999,67550314.84,67549768.49,546.3500000089407,36952619.0,157.93776870738242,157.3307815760774,370940044.54999995,369514446.13000005,1425598.4199998975,234864686.0,ok
2012-04-13,156.21718981712954,155.4918997042942,309336736.48,307900538.09000003,1436198.3899999857,198017092.0,186.8238253628291,186.82211159252796,69238733.08,69238097.94,635.140000000596,37060976.0,161.04244550793229,160.43123003290975,378575469.56,377138636.03000003,1436833.5299999714,235078068.0,ok
2012-04-16,154.55106988994888,153.89272649655584,305670551.19,304368481.99,1302069.199999988,197779641.0,184.42723328306792,184.42554783829527,67740794.1,67740175.02999999,619.0700000077486,36730364.0,159.23045385206484,158.67496016641164,373411345.28999996,372108657.02,1302688.269999981,234510005.0,ok
2012-04-17,150.44068747341342,149.71532233882905,294808625.98,293387176.09,1421449.8900000453,195963360.0,179.4582386250922,179.45681516948352,64952418.59,64951903.39,515.2000000029802,36193612.0,154.96456620307748,154.35206463668035,359761044.57000005,358339079.47999996,1421965.090000093,232156972.0,ok
2012-04-18,150.0626750242256,149.3203804236127,293479285.76,292027571.74,1451714.019999981,195571141.0,178.2694660460172,178.26806743119815,63909168.60000001,63908667.2,501.40000000596046,35849756.0,154.43223105301507,153.80470975358807,357388454.36,355936238.94,1452215.4200000167,231420897.0,ok
